"Event_id","Event_date","Event_group","involvement","IsProtest","preannounced","public_invitation","disruption","violence","symbolic","arrests","location_target","Event_name","headcount","action_freetext","location_freetext","Event_day","Event_prob_protest","issue"
"TridentPlough.2010-02-15.E1","2010-02-15","TridentPlough","Organised","Protest","Before event day","Yes","Yes","No","No","Yes","Company site","Aldermaston blockade, oppose nuclear weapons","26 arrests","blockade","Aldermaston nuclear bomb factory","Mon",0.999996806843287,"env"
"campaigncc.2010-03-09.E1","2010-03-09","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Unknown","Demo against biofuel power plant","","demonstration","Southall","Tue",0.903512835502625,"env"
"TridentPlough.2010-04-03.E1","2010-04-03","TridentPlough","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","Euro Day of Action to ban nuclear weapons","","day of action","Faslane, Scotland","Sat",0.992699249796854,"env"
"public services march.2010-04-10.E1","2010-04-10","bectu, keepnhspublic","Participated, Participated","Protest","Before event day","Yes","No","No","No","No","Public space","defend welfare state and public services",NA,"march, demonstration, rally","Victoria, Embankment","Sat",0.99980558084473,"pov"
"unitetheunion.2010-05-05.E1","2010-05-05","unitetheunion","Organised","Strike","On day, before event","No","No","No","No","No","Other","Strike at Glasgow Herald and The Evening Times",NA,"24hr stoppage","","Wed",0.971246050778888,"pov"
"campaigncc.2010-05-15.E1","2010-05-15","campaigncc","Organised","Protest","Before event day","Yes","No","No","Yes","No","Unknown","Climate emergency vigil","","overnight vigil","","Sat",0.999994716275315,"env"
"CNDuk.2010-05-31.E1","2010-05-31","CNDuk","Organised","Protest","On day, before event","Yes","No","No","No","No","Political site","Save the Gaza flotilla","","protest","Downing Street","Mon",0.913985126083921,"env"
"CNDuk.2010-07-10.E1","2010-07-10","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Unknown","Stop Nuclear Trains through London and the Olympic Park","","demonstration","","Sat",0.836055278778076,"env"
"GreenpeaceUK.2010-07-27.E1","2010-07-27","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","Yes","No","Company site","Oppose BP","","shut down BP stations, switched off power to petrol pumps, put up signs","BP stations","Tue",0.998843262351922,"env"
"campaigncc.2010-08-10.E1","2010-08-10","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Oppose biomass and biofuels","","demonstration","outside town hall, Bristol","Tue",0.85317051410675,"env"
"climatecamp.2010-08-23.E1","2010-08-23","climatecamp","Organised","Protest","After event","No","Yes","No","No","No","Company site","climate camp","3","glued on, shut down","RBS Nicolson Street, Edinburgh","Mon",0.733827605959437,"env"
"GreenpeaceUK.2010-08-31.E1","2010-08-31","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","No","No","Company site","Oppose oil","4","occupation, climb/scale rig","Cairn energy oil rig, arctic","Tue",0.986781726400912,"env"
"GreenpeaceUK.2010-09-01.E1","2010-09-01","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","No","No","Company site","Oppose oil","4","occupation","Cairn deepwater oil rig","Wed",0.319636172209739,"env"
"campaigncc.2010-09-04.E1","2010-09-04","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","End Domestic Flights","","demonstration","City airport, London, Manchester","Sat",0.989541498907417,"env"
"NASUWT.2010-09-05.E1","2010-09-05","NASUWT","Participated","Protest","Before event day","Yes","No","No","No","No","Other","Burston strike rally, comemorative event",NA,"strike rally, march","Church Green, Burston, Nr Diss, Norfolk","Sun",0.985616052988257,"pov"
"unitetheunion.2010-09-10.E1","2010-09-10","unitetheunion","Organised","Protest","On day, before event","No","No","No","No","No","Unknown","combat onslaught to the legal advice system",NA,"rally","","Fri",0.90478208961958,"pov"
"campaigncc.2010-09-15.E1","2010-09-15","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","oppose subsidies for agrofuels","","demonstration","DECC, Whitehall","Wed",0.88290330802693,"env"
"climatecamp.2010-09-25.E1","2010-09-25","climatecamp","Participated","Protest","Before event day","Yes","No","No","No","No","Public space","National demonstration against Agrofuels","","demonstration","Portland in Dorset","Sat",0.996234639948147,"env"
"GreenpeaceUK.2010-09-27.E1","2010-09-27","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","No","No","Company site","Beyond oil","1","block drill ship","Ocean, in front of Chevron ship","Mon",0.840698897838593,"env"
"TridentPlough.2010-09-29.E1","2010-09-29","TridentPlough","Organised","Protest","Before event day","Yes","No","No","No","No","Unknown","Oppose upgrade of Aldermaston nuclear warhead factory","","demonstration","Reading planning committee meeting","Wed",0.903162717819214,"env"
"Dis_PPL_Protest.2010-10-03.E1","2010-10-03","Dis_PPL_Protest","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","Tory Party Conference",NA,"protest","Birmingham","Sun",0.999978934992209,"pov"
"unitetheunion.2010-10-08.E1","2010-10-08","unitetheunion","Organised","Strike","On day, before event","No","No","No","No","No","Other","Strike at Tyneside Safety Glass",NA,"strike action","","Fri",0.934681611969173,"pov"
"unitetheunion.2010-10-12.E1","2010-10-12","unitetheunion","Organised","Protest","On day, before event","No","No","No","No","No","Company site","oppose dock privatisation and support workers’ rights",NA,"rally","Dover","Tue",0.976852820676656,"pov"
"unitetheunion.2010-10-12.E2","2010-10-12","unitetheunion","Organised","Strike","On day, before event","No","No","No","No","No","Other","Oxford University Press strike",NA,"strike action","Corby, Oxford University Press","Tue",0.976852820676656,"pov"
"Crude Awakening blockade.2010-10-16.E1","2010-10-16","climatecamp, liberatetate","Organised, Participated","Protest","Before event day","Yes","Yes","No","No","No","Company site","Crude Awakening","100s","blockade, mass action","Essex oil refineries","Sat",0.999994193734866,"env"
"EquityUK.2010-10-19.E1","2010-10-19","EquityUK","Participated","Protest","Before event day","No","No","No","No","No","Political site","Demo Against the Cuts",NA,"demonstration, rally","Parliament, Westminster","Tue",0.986997789642182,"pov"
"EISUnion.2010-10-23.E1","2010-10-23","EISUnion","Organised","Protest","Before event day","No","No","No","No","No","Public space","against education cuts, Teachers & lecturers","20000","march","Edinburgh","Sat",0.999142905888792,"pov"
"Ukuncut.2010-10-27.E1","2010-10-27","Ukuncut","Organised","Protest","Before event day","No","Yes","No","No","No","Company site","against government cuts",NA,"direct action, shut down","Vodafone shop","Wed",0.999921158508595,"pov"
"Ukuncut.2010-10-30.E1","2010-10-30","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","No","No","Company site","Oppose cuts",NA,"action, shut down, sit-ins","vodafone stores, Glasgow, Bristol, Nottingham, Newcastle, Liverpool, London, Brighton","Sat",0.999996596591815,"pov"
"TridentPlough.2010-11-01.E1","2010-11-01","TridentPlough","Organised","Protest","Before event day","Yes","Yes","No","No","No","Political site","Devonport Big Blockade, oppose trident","","blockade","Devonport","Mon",0.999780034571231,"env"
"Ukuncut.2010-11-06.E1","2010-11-06","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","No","No","Company site","","","shutdown, protest","outside Vodafone, Nottingham","Sat",0.999969614394817,"pov"
"nusuk.2010-11-10.E1","2010-11-10","nusuk","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","National Demo, oppose HE cuts","1000s","demonstration","London","Wed",0.999835352928216,"pov"
"CNDuk.2010-11-12.E1","2010-11-12","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Other","protest about depleted uranium","","protest","US embassy","Fri",0.955108741137778,"env"
"Dis_PPL_Protest.2010-11-13.E1","2010-11-13","Dis_PPL_Protest","Organised","Protest","Before event day","No","No","No","No","No","Public space","oppose cuts","","rally","Birmingham","Sat",0.993085250377041,"pov"
"ClimateRush.2010-11-18.E1","2010-11-18","ClimateRush","Participated","Protest","Before event day","Yes","No","No","Yes","No","Unknown","Vigil to remember suffragettes","","vigil","","Thu",0.774077295255023,"env"
"CNDuk.2010-11-20.E1","2010-11-20","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Afghanistan 'Time to go'","","demonstration","Speakers Corner, Hyde Park","Sat",0.980751047827937,"env"
"National Climate March.2010-12-04.E1","2010-12-04","campaigncc, TheCCoalition","Organised, Participated","Protest","Before event day","Yes","No","No","No","No","Public space","National Climate March","","march","Hyde Park","Sat",0.999999820682701,"env"
"Ukuncut.2010-12-04.E1","2010-12-04","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","No","No","Company site","national day of action, oppose tax dodgers","","mass civil disobedience","Birmingham","Sat",1,"pov"
"Ukuncut.2010-12-07.E1","2010-12-07","Ukuncut","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","","","demonstration","St Albans, Vodafone","Tue",0.99923779510489,"pov"
"Ukuncut.2010-12-11.E1","2010-12-11","Ukuncut","Organised","Protest","Before event day","No","Yes","No","No","No","Company site","Can't Pay Won't Pay","","occupation, close down","London, Oxford Street, Bury St Edmunds, Vodafone, Topshop","Sat",0.99999887306768,"pov"
"Dis_PPL_Protest.2010-12-15.E1","2010-12-15","Dis_PPL_Protest","Organised","Protest","Before event day","Yes","No","No","Yes","No","Political site","Alternative nativity, housing, benefit cuts","","alternative nativity scene, protest","Trafalgar Sq, Downing street","Wed",0.999792478573726,"pov"
"Ukuncut.2010-12-18.E1","2010-12-18","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","Yes","Yes","Company site","Pay Day nationwide day of action","","mass action, protest, shutting down, glued on, dressed as santa","Oxford street, Tunbridge Wells","Sat",1,"pov"
"Ukuncut.2011-01-15.E1","2011-01-15","Ukuncut","Organised","Protest","Before event day","No","No","No","No","No","Unknown","anti-cuts","","","London","Sat",0.978833273801179,"pov"
"Dis_PPL_Protest.2011-01-24.E1","2011-01-24","Dis_PPL_Protest","Participated","Protest","Before event day","Yes","No","No","No","No","Public space","Against benefit cuts","","picnic and party","Triton Sq., London","Mon",0.997082188460515,"pov"
"Ukuncut.2011-01-29.E1","2011-01-29","Ukuncut","Organised","Protest","Before event day","Yes","No","No","No","No","Unknown","#ukuncut National Action Day, oppose cuts","","march","","Sat",0.999998340316486,"pov"
"the_TUC.2011-01-29.E1","2011-01-29","the_TUC","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Future that Works","","rally","Platt Fields Park, Manchester","Sat",0.999491890783205,"pov"
"Ukuncut.2011-01-30.E1","2011-01-30","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","No","Yes","Company site","against tax dodgers","","refuse to move, shut down","Boots, Vodafone","Sun",1,"pov"
"EquityUK.2011-02-09.E1","2011-02-09","EquityUK","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","oppose cuts to arts funding","","protest, rally","Westminster","Wed",0.999943132165717,"pov"
"Ukuncut.2011-02-10.E1","2011-02-10","Ukuncut","Organised","Protest","Before event day","Yes","No","No","No","No","Court","solidarity with those arrested in student demo","","demonstration","Westminster Magistrates Court","Thu",0.989587034379978,"pov"
"Ukuncut.2011-02-19.E1","2011-02-19","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","Yes","No","Company site","Oppose tax avoidance","","occupation, bail in","Barclays","Sat",0.999999999998584,"pov"
"EISUnion.2011-02-19.E1","2011-02-19","EISUnion","Organised","Protest","Before event day","No","No","No","No","No","Unknown","oppose council cuts","","protest, rally","Paisley","Sat",0.975360973112032,"pov"
"GreenpeaceUK.2011-02-21.E1","2011-02-21","GreenpeaceUK","Organised","Protest","After event","No","No","No","Yes","No","Company site","stop dangerous fishing practices","","dressed as sharks","Princes HQ","Mon",0.833179834857469,"env"
"Ukuncut.2011-02-26.E1","2011-02-26","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","Yes","No","Company site","international action day","","blockade, bail-in","Barclays, Leeds, Middlesbrough, Regent St Natwest","Sat",0.999999999999914,"pov"
"pcs_union.2011-03-05.E1","2011-03-05","pcs_union","Participated","Protest","Before event day","No","No","No","No","No","Public space","oppose cuts","1500","rally","Cardiff","Sat",0.999183985538758,"pov"
"Ukuncut.2011-03-07.E1","2011-03-07","Ukuncut","Organised","Protest","After event","No","Yes","No","No","No","Company site","","","action inside company space","Barclays HQ, Tower Hamlets","Mon",0.889129161834717,"pov"
"CNDuk.2011-03-12.E1","2011-03-12","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","No to military intervention in Libya","","demonstration","Downing Street","Sat",0.979441997062901,"env"
"Dis_PPL_Protest.2011-03-12.E1","2011-03-12","Dis_PPL_Protest","Participated","Protest","Before event day","Yes","No","No","No","No","Political site","Mothers March and Speak Out","","march","Sheffield, Lib Dem conference","Sat",0.972456706368316,"pov"
"CNDuk.2011-03-18.E1","2011-03-18","CNDuk","Organised","Protest","On day, before event","Yes","No","No","No","No","Political site","No Military Intervention in Libya","","action","Downing Street","Fri",0.825833678245544,"env"
"Ukuncut.2011-03-19.E1","2011-03-19","Ukuncut","Organised","Protest","Before event day","Yes","No","No","Yes","No","Public space","rock the banks action","","bail-in","Oxford street","Sat",0.998640691274483,"pov"
"CNDuk.2011-03-20.E1","2011-03-20","CNDuk","Organised","Protest","On day, before event","Yes","No","No","Yes","No","Political site","Stop the bombing of Libya, sympathy for Fukushima victims","","protest, vigil","Downing Street","Sun",0.990230520174296,"env"
"campaigncc.2011-03-20.E1","2011-03-20","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Unknown","‘Saving our Forests’ National Day of Action","","","","Sun",0.907472879037669,"env"
"CNDuk.2011-03-23.E1","2011-03-23","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Cut trident not jobs, health & education","","march, protest","Trafalgar Square, London, Downing Street","Wed",0.99815829943612,"env"
"Anti-cuts march.2011-03-26.E1","2011-03-26","CNDuk, friends_earth","Participated, Participated","Protest","Before event day","Yes","No","No","No","No","Public space","March for the Alternative, anti-cuts","","march, demonstration, rally","London","Sat",0.999001888718903,"env"
"TUC demo.2011-03-26.E1","2011-03-26","ASLEFunion, bectu, Dis_PPL_Protest, EquityUK, NASUWT, pcs_union, the_TUC, theRCN, unisontheunion, unitetheunion","Participated, Participated, Participated, Participated, Participated, Participated, Participated, Participated, Participated, Organised","Protest","Before event day","Yes","No","No","No","No","Public space","March for the Alternative, TUC rally, against cuts","1000s","demonstration","London","Sat",1,"pov"
"Ukuncut.2011-03-26.E1","2011-03-26","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","Yes","Yes","Company site","Occupy For The Alternative","","occupation, set up an NHS inside","Vodafone, Fortnum and Mason, Boots, London, Liverpool","Sat",0.999999892228614,"pov"
"CNDuk.2011-03-29.E1","2011-03-29","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","Stop the bombing","","demonstration","Outside 'regime change' conference","Tue",0.891912639141083,"env"
"Ukuncut.2011-04-02.E1","2011-04-02","Ukuncut","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Stop the tax cheats, stop the cuts","","march, rally, demonstration","Bangor, high street, Edinburgh, Wellington statue, Bristol","Sat",0.997905480669725,"pov"
"GreenpeaceUK.2011-04-14.E1","2011-04-14","GreenpeaceUK","Participated","Protest","After event","No","No","No","No","No","Company site","","","protest","BP AGM, London","Thu",0.994900065608591,"env"
"Dis_PPL_Protest.2011-04-14.E1","2011-04-14","Dis_PPL_Protest","Participated","Protest","Before event day","No","No","No","No","No","Company site","Stop the lies (Daily Mail), oppose cuts","","demonstration, protest","Daily Mail HQ","Thu",0.999991337530614,"pov"
"liberatetate.2011-04-17.E1","2011-04-17","liberatetate","Participated","Protest","Before event day","Yes","No","No","Yes","No","Entertainment/cultural","The Great BP-sponsored Sleep-in Flash Mob","","Sleep-in Flash Mob","Tate Modern","Sun",0.911821898958854,"env"
"pcs_union.2011-04-18.E1","2011-04-18","pcs_union","Organised","Strike","Before event day","No","No","No","No","No","Other","Jobcentre Plus call centres strike","1000s","","Jobcentre Plus call centres","Mon",0.972798830469548,"pov"
"CNDuk.2011-04-19.E1","2011-04-19","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","Stop the Bombing of Libya","","protest","Downing Street","Tue",0.999886278677854,"env"
"campaigncc.2011-04-21.E1","2011-04-21","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","climate demo","","demonstration","outside BIS","Thu",0.849318563938141,"env"
"GreenpeaceUK.2011-04-22.E1","2011-04-22","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","No","No","Company site","Oppose Arctic drilling","","occupation","Cairn's Arctic rig","Fri",0.915712621459666,"env"
"CNDuk.2011-04-23.E1","2011-04-23","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","No to Nuclear","","protest","Sizewell","Sat",0.839022815227509,"env"
"climatecamp.2011-05-03.E1","2011-05-03","climatecamp","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","Oppose use of phrase 'radical media'","","demonstration","outside radical media office","Tue",0.937460763036526,"env"
"pcs_union.2011-05-04.E1","2011-05-04","pcs_union","Organised","Strike","Before event day","No","No","No","No","No","Other","EHRC workers strike","","walk out, strike","Cardiff","Wed",0.976489980118586,"pov"
"NASUWT.2011-05-05.E1","2011-05-05","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","Friesland School strike, oppose academy conversion, oppose compulsory redundancies","","strike","Derby","Thu",0.913897853098376,"pov"
"Dis_PPL_Protest.2011-05-09.E1","2011-05-09","Dis_PPL_Protest","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","National Week of Action Against Atos Origin","","picnic and party","Triton sq, Atos HQ","Mon",0.999910158001323,"pov"
"pcs_union.2011-05-11.E1","2011-05-11","pcs_union","Participated","Strike","Before event day","No","No","No","No","No","Other","EHRC workers strike","","strike","","Wed",0.985295145531547,"pov"
"campaigncc.2011-05-16.E1","2011-05-16","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","oppose inadequacy of Climate Bill targets","","demonstration, protest","liberal democrats party HQ","Mon",0.999224254689889,"env"
"CNDuk.2011-05-16.E1","2011-05-16","CNDuk","Organised","Protest","On day, before event","Yes","No","No","No","No","Political site","Oppose NATO bombing","","protest","Downing Street","Mon",0.984492304190269,"env"
"SaveTheNHS.2011-05-17.E1","2011-05-17","SaveTheNHS","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Save the NHS","","march","Gower street, London","Tue",0.999735898514098,"pov"
"CNDuk.2011-05-24.E1","2011-05-24","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","Oppose bombing Libya","","protest","Buckingham Palace","Tue",0.9903490104941,"env"
"GreenpeaceUK.2011-05-26.E1","2011-05-26","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","Yes","No","Political site","Save the Arctic, Paula Bear, demand oil spill response plan","","block entrance, giant polar bear prop","Cairn Energy Edinburgh HQ","Thu",0.89042839861412,"env"
"Ukuncut.2011-05-28.E1","2011-05-28","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","No","Yes","Public space","","","protest, action","Manchester, Edinburgh, Homerton Hospital","Sat",0.999999999572547,"pov"
"GreenpeaceUK.2011-06-04.E1","2011-06-04","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","No","No","Company site","Save the Arctic","<15","activists board oil rig, shut down drilling","Cairn's Arctic oil rig","Sat",0.456839944646266,"env"
"ClimateRush.2011-06-07.E1","2011-06-07","ClimateRush","Organised","Protest","After event","No","No","No","No","No","Political site","","","knocked on politicians' doors","Politicians' houses (Philip Hammond, Vince Cable, Chris Huhne)","Tue",0.931260323523937,"env"
"GreenpeaceUK.2011-06-08.E1","2011-06-08","GreenpeaceUK","Organised","Protest","After event","No","No","No","Yes","No","Public space","Oppose Barbie plastic harm to environment","","guerilla advertising","London, Piccadilly circus","Wed",0.776732694850441,"env"
"internaware.2011-06-08.E1","2011-06-08","internaware","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","interns rights","","rally, protest","House of Commons","Wed",0.99999759359689,"pov"
"ClimateRush.2011-06-14.E1","2011-06-14","ClimateRush","Organised","Protest","After event","No","No","No","No","No","Unknown","Oppose BP sponsorship","","protest","","Tue",0.805598318576813,"env"
"International Stop the Tar Sands Day.2011-06-18.E1","2011-06-18","campaigncc, climatecamp","Participated, Participated","Protest","Before event day","Yes","No","No","No","No","Embassy","International stop the tar sands day","","demonstration","Canadian high commission","Sat",0.99317691529995,"env"
"CNDuk.2011-06-28.E1","2011-06-28","CNDuk","Participated","Protest","Before event day","Yes","No","No","No","No","Political site","oppose bombing of Libya","","protest","Downing Street","Tue",0.98698768702085,"env"
"Dis_PPL_Protest.2011-06-29.E1","2011-06-29","Dis_PPL_Protest","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Reverse the Bias Towards Segregation","","demonstration, noisy march","Westminster Square","Wed",0.974087217011276,"pov"
"CNDuk.2011-06-30.E1","2011-06-30","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Cut trident","","protest","","Thu",0.995923805298266,"env"
"pcs_union.2011-06-30.E1","2011-06-30","pcs_union","Organised","Both","Before event day","Yes","No","No","No","No","Public space","pensions, job cuts and the pay freeze","","strike, rally","Barnsley, Shrewsbury, Doncaster, Wakefield, Hastings, Manchester, Norwich, Preston, London, Bristol, Plymouth, Truro, Brighton, Bradford, Carlisle, Colchester, Glasgow","Thu",1,"pov"
"Ukuncut.2011-06-30.E1","2011-06-30","Ukuncut","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Big Society Breakfast","","direct action, support picketers in strike","","Thu",0.999852177192203,"pov"
"CNDuk.2011-07-12.E1","2011-07-12","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Stop Bombing Libya","","protest, demonstration","Old Palace Yard (opposite Parliament)","Tue",0.96533731834029,"env"
"ClimateRush.2011-07-13.E1","2011-07-13","ClimateRush","Organised","Protest","Before event day","Yes","Yes","No","Yes","No","Public space","","","road block, marching band, protest","Soho square","Wed",0.999978983882954,"env"
"NASUWT.2011-07-14.E1","2011-07-14","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","Tywyn Secondary School strike, pay cuts","","strike","Tywyn Secondary School, Gwynedd","Thu",0.890176355838776,"pov"
"GreenpeaceUK.2011-07-18.E1","2011-07-18","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","Yes","No","Company site","demand oil spill response plan","","occupation, polar bear props","Cairn office","Mon",0.998736088041328,"env"
"ClimateRush.2011-07-19.E1","2011-07-19","ClimateRush","Organised","Protest","On day, before event","Yes","No","No","No","No","Public space","Murdoch protest","","protest","Old Palace Yard (opposite Parliament)","Tue",0.903015923488768,"env"
"NASUWT.2011-07-20.E1","2011-07-20","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","Whickham School and Sports College, oppose academy conversion","","strike","Whickham School and Sports College, Newcastle-upon-Tyne","Wed",0.980490278724531,"pov"
"Dis_PPL_Protest.2011-07-21.E1","2011-07-21","Dis_PPL_Protest","Organised","Protest","Before event day","No","No","No","No","No","Public space","Disability rights","","protest","Chelsea and Kensington, town hall","Thu",0.923617496645969,"pov"
"campaigncc.2011-08-03.E1","2011-08-03","campaigncc","Participated","Protest","Before event day","Yes","No","No","No","No","Public space","anti-fracking","","demonstration","Preston","Wed",0.858402498104936,"env"
"ClimateRush.2011-08-13.E1","2011-08-13","ClimateRush","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Give our Kids a Future March","","march","North London","Sat",0.846287846565247,"env"
"campaigncc.2011-09-07.E1","2011-09-07","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","Mystery demo against funder of climate change disinformation","","demonstration","Koch Industries HQ","Wed",0.995345352439938,"env"
"GreenpeaceUK.2011-09-07.E1","2011-09-07","GreenpeaceUK","Organised","Protest","After event","No","No","No","Yes","No","Company site","Oppose Volkswagon's climate delaying actions","","subvertising, projected images","Battersea power station, eco velocity green car show","Wed",0.852441191673279,"env"
"NHS demo.2011-09-07.E1","2011-09-07","pcs_union, unisontheunion","Participated, Organised","Protest","On day, before event","No","No","No","Yes","No","Public space","NHS demo/vigil","","candlelit vigil, demonstration, protest","outside Parliament","Wed",0.997178920664966,"pov"
"GreenpeaceUK.2011-09-10.E1","2011-09-10","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","Yes","No","Company site","Turn Volkswagen away from 'dark side'","","dress up as storm troopers, subvertising, put covers stay 'stop opposing climate action' on cars","Volkswagon dealerships","Sat",0.998009856638526,"env"
"campaigncc.2011-09-17.E1","2011-09-17","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Camp Frack, oppose shale gas drilling in Blackpool","","protest, camp","","Sat",0.864066746119962,"env"
"Dis_PPL_Protest.2011-09-18.E1","2011-09-18","Dis_PPL_Protest","Participated","Protest","Before event day","Yes","No","No","No","No","Public space","Right to work rally","","demonstration","","Sun",0.999971246775162,"pov"
"ClimateRush.2011-09-22.E1","2011-09-22","ClimateRush","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","cycle/walk for London, demand cleaner and safer city","","protest","TfL offices","Thu",0.992218941468186,"env"
"NASUWT.2011-09-29.E1","2011-09-29","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","oppose academies","","strike action","Kingsbury High School, Kingsbury, London","Thu",0.986912112596318,"pov"
"Occupy ATOS.2011-09-30.E1","2011-09-30","Dis_PPL_Protest, Ukuncut","Organised, Organised","Protest","Before event day","Yes","Yes","No","No","No","Company site","Occupy atos","","occupation, protest","ATOS","Fri",0.999999782631672,"pov"
"EISUnion.2011-10-01.E1","2011-10-01","EISUnion","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","People 1st","","march, rally, demonstration","Aberdeen, Glasgow","Sat",0.999836616838737,"pov"
"OccupyMCR.2011-10-02.E1","2011-10-02","OccupyMCR","Organised","Protest","Before event day","Yes","Yes","No","No","No","Public space","1st occupation","20000","occupation","Albert Square, Manchester","Sun",0.999993238959858,"pov"
"unitetheunion.2011-10-02.E1","2011-10-02","unitetheunion","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","Manchester for the Alternative, oppose cuts","","march","Tory conference","Sun",0.978582250954935,"pov"
"CNDuk.2011-10-03.E1","2011-10-03","CNDuk","Organised","Protest","Before event day","Yes","Yes","No","No","No","Company site","Stop New Nuclear","","blockade","Hinkley","Mon",0.986366124942533,"env"
"Ukuncut.2011-10-09.E1","2011-10-09","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","No","No","Public space","oppose NHS cuts","","banner, action, occupation, block bridge, shut down","Westminster bridge","Sun",0.999999995469849,"pov"
"campaigncc.2011-10-13.E1","2011-10-13","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","anti-fracking","","demonstration","DECC","Thu",0.878747522830963,"env"
"OccupyLondon.2011-10-15.E1","2011-10-15","OccupyLondon","Organised","Protest","Before event day","Yes","Yes","No","No","No","Public space","Occupy London","","occupation","Paternoster square, St Paul's Cathedral, London Stock Exchange","Sat",0.999999996216177,"pov"
"OccupyMCR.2011-10-15.E1","2011-10-15","OccupyMCR","Organised","Protest","After event","No","Yes","No","No","No","Company site","","","closed","banks, Santander, Barclays, Halifax, Vodaphone, Topman","Sat",0.991303085121984,"pov"
"NASUWT.2011-10-18.E1","2011-10-18","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","oppose academies","","strike action","Kingswinford School, Dudley","Tue",0.98091212463488,"pov"
"Ukuncut.2011-10-24.E1","2011-10-24","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","No","No","Political site","oppose tax avoidance, vodafone, HMRC head should resign","","occupation","HMRC","Mon",0.999786822107237,"pov"
"NASUWT.2011-11-02.E1","2011-11-02","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","redundancies","","strike action","Aldercar Community Language College, Derbyshire","Wed",0.958402514517411,"pov"
"CNDuk.2011-11-05.E1","2011-11-05","CNDuk","Participated","Protest","Before event day","No","No","No","No","No","Public space","Occupy LSX rally","","rally","St Paul's","Sat",0.974029745405513,"env"
