"Event_id","Event_date","Event_group","involvement","IsProtest","preannounced","public_invitation","disruption","violence","symbolic","arrests","location_target","Event_name","headcount","action_freetext","location_freetext","Event_day","Event_prob_protest","issue"
"CNDuk.2019-06-26.E1","2019-06-26","CNDuk","Participated","Protest","On day, before event","Yes","No","No","No","No","Political site","Don't attack Iran","","protest","Downing Street","Wed",0.997716510746091,"env"
"Time is Now.2019-06-26.E1","2019-06-26","friends_earth, TheCCoalition","Participated, Organised","Protest","Before event day","Yes","No","No","No","No","Public space","The Time is Now","15000","mass lobby","outside Parliament","Wed",0.999630595756215,"env"
"ExtinctionR.2019-06-27.E1","2019-06-27","ExtinctionR","Organised","Protest","Before event day","Yes","No","No","No","No","Entertainment/cultural","Extinction procession","","procession","Glastonbury music festival","Thu",0.998910658042347,"env"
"NASUWT.2019-06-27.E1","2019-06-27","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","Starbank School strike","","strike","","Thu",0.971296881929028,"pov"
"IWGBunion.2019-06-28.E1","2019-06-28","IWGBunion","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","end outsourcing","","demonstration, protest","5 Hertford street","Fri",0.998104080006476,"pov"
"ExtinctionR.2019-06-30.E1","2019-06-30","ExtinctionR","Organised","Protest","Before event day","Yes","No","No","Yes","No","Public space","Funeral protest march","","funeral march, street party, protest","Compton Terrace Gardens, Upper Street","Sun",0.926847247914214,"env"
"ExtinctionR.2019-07-02.E1","2019-07-02","ExtinctionR","Organised","Protest","Before event day","Yes","No","No","Yes","No","Company site","Carmens Carbon Procession","","procession, ceremony, performance","Trafalgar square, BP screening of Carmen, sites of five fossil fuel companies","Tue",0.997229558329566,"env"
"NASUWT.2019-07-02.E1","2019-07-02","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","ACE Multi Academy Trust strike, management practices","","strike","","Tue",0.983544150004615,"pov"
"NASUWT.2019-07-03.E1","2019-07-03","NASUWT","Organised","Strike","After event","No","No","No","No","No","Other","Starbank School strike","","strike","","Wed",0.951732921981641,"pov"
"ExtinctionR.2019-07-05.E1","2019-07-05","ExtinctionR","Organised","Protest","On day, before event","No","No","No","Yes","No","Other","Solidary with French XR activists","","solidarity protest, embassy protest, reenactment","French embassy","Fri",0.936604381,"env"
