"group_date_id","Event_date","Event_group","involvement","IsProtest","preannounced","public_invitation","disruption","violence","symbolic","arrests","location_target","Event_name","headcount","action_freetext","location_freetext","date_preannounced","n_tweets_about_event_day","n_tweets_about_event_day_weighted","n_articles","n_articles_bm","n_articles_after","n_articles_bm_after","source_ind","source_express","source_guardian","source_dstar","source_mirror","source_sun","source_dm","source_metro","source_telegraph","source_times","source_ft","source_itv","source_four","source_bbc","bm_source_ind","bm_source_express","bm_source_guardian","bm_source_dstar","bm_source_mirror","bm_source_sun","bm_source_dm","bm_source_metro","bm_source_telegraph","bm_source_times","bm_source_ft","bm_source_itv","bm_source_four","bm_source_bbc","issue"
"CNDuk/2011-05-24","2011-05-24","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","Oppose bombing Libya","","protest","Buckingham Palace","2011-05-19",3,2.34559911489487,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"GreenpeaceUK/2011-05-26","2011-05-26","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","Yes","No","Political site","Save the Arctic, Paula Bear, demand oil spill response plan","","block entrance, giant polar bear prop","Cairn Energy Edinburgh HQ","2011-05-26",3,0.946413711173309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"Ukuncut/2011-05-28","2011-05-28","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","No","Yes","Public space","","","protest, action","Manchester, Edinburgh, Homerton Hospital","2011-05-16",24,10.2099915203547,10,7,6,4,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,"pov"
"GreenpeaceUK/2011-06-04","2011-06-04","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","No","No","Company site","Save the Arctic","<15","activists board oil rig, shut down drilling","Cairn's Arctic oil rig","2011-06-04",2,0.513952016830445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"ClimateRush/2011-06-07","2011-06-07","ClimateRush","Organised","Protest","After event","No","No","No","No","No","Political site","","","knocked on politicians' doors","Politicians' houses (Philip Hammond, Vince Cable, Chris Huhne)","2011-06-07",3,1.52418293058872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"GreenpeaceUK/2011-06-08","2011-06-08","GreenpeaceUK","Organised","Protest","After event","No","No","No","Yes","No","Public space","Oppose Barbie plastic harm to environment","","guerilla advertising","London, Piccadilly circus","2011-06-08",4,1.07073653905652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"internaware/2011-06-08","2011-06-08","internaware","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","interns rights","","rally, protest","House of Commons","2011-06-01",12,6.3112212381068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pov"
"ClimateRush/2011-06-14","2011-06-14","ClimateRush","Organised","Protest","After event","No","No","No","No","No","Unknown","Oppose BP sponsorship","","protest","","2011-06-14",1,0.805598318576813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"campaigncc, climatecamp/2011-06-18","2011-06-18","campaigncc, climatecamp","Participated, Participated","Protest","Before event day","Yes","No","No","No","No","Embassy","International stop the tar sands day","","demonstration","Canadian high commission","2011-04-23",7,2.49003566697012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"CNDuk/2011-06-28","2011-06-28","CNDuk","Participated","Protest","Before event day","Yes","No","No","No","No","Political site","oppose bombing of Libya","","protest","Downing Street","2011-06-21",3,2.28620606660843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
